spectrogram,label
purher1_XC838662.ogg.npy,purher1
litegr_XC575541.ogg.npy,litegr
commoo3_XC358926.ogg.npy,commoo3
rocpig_XC757059.ogg.npy,rocpig
comgre_XC692939.ogg.npy,comgre
inbrob1_XC599062.ogg.npy,inbrob1
eurcoo_XC541506.ogg.npy,eurcoo
whiter2_XC770350.ogg.npy,whiter2
greegr_XC453044.ogg.npy,greegr
asikoe2_XC400193.ogg.npy,asikoe2
asbfly_XC805713.ogg.npy,asbfly
commoo3_XC565335.ogg.npy,commoo3
blhori1_XC371944.ogg.npy,blhori1
blakit1_XC131995.ogg.npy,blakit1
barswa_XC377901.ogg.npy,barswa
houspa_XC546275.ogg.npy,houspa
bkwsti_XC828544.ogg.npy,bkwsti
blrwar1_XC444687.ogg.npy,blrwar1
grywag_XC459760.ogg.npy,grywag
compea_XC402424.ogg.npy,compea
bkwsti_XC795865.ogg.npy,bkwsti
litgre1_XC389636.ogg.npy,litgre1
ashpri1_XC665299.ogg.npy,ashpri1
grnsan_XC269809.ogg.npy,grnsan
blhori1_XC529758.ogg.npy,blhori1
greegr_XC692235.ogg.npy,greegr
pabflo1_XC535681.ogg.npy,pabflo1
purher1_XC794529.ogg.npy,purher1
comgre_XC824485.ogg.npy,comgre
rewlap1_XC464047.ogg.npy,rewlap1
grecou1_XC676987.ogg.npy,grecou1
gloibi_XC712962.ogg.npy,gloibi
gyhcaf1_XC292230.ogg.npy,gyhcaf1
litegr_XC383366.ogg.npy,litegr
litegr_XC576990.ogg.npy,litegr
blakit1_XC309400.ogg.npy,blakit1
whcbar1_XC574320.ogg.npy,whcbar1
hoopoe_XC473515.ogg.npy,hoopoe
wemhar1_XC146899.ogg.npy,wemhar1
blrwar1_XC376503.ogg.npy,blrwar1
bcnher_XC732322.ogg.npy,bcnher
comros_XC731111.ogg.npy,comros
wbbfly1_XC206385.ogg.npy,wbbfly1
litgre1_XC288741.ogg.npy,litgre1
graher1_XC564753.ogg.npy,graher1
rocpig_XC169212.ogg.npy,rocpig
grywag_XC702605.ogg.npy,grywag
eucdov_XC261352.ogg.npy,eucdov
litegr_XC535540.ogg.npy,litegr
grtdro1_XC305707.ogg.npy,grtdro1
blhori1_XC346209.ogg.npy,blhori1
lirplo_XC845340.ogg.npy,lirplo
eucdov_XC637562.ogg.npy,eucdov
grnsan_XC793506.ogg.npy,grnsan
wemhar1_XC642114.ogg.npy,wemhar1
lirplo_XC790799.ogg.npy,lirplo
comsan_XC285135.ogg.npy,comsan
greegr_XC639080.ogg.npy,greegr
grbeat1_XC621032.ogg.npy,grbeat1
grnsan_XC792836.ogg.npy,grnsan
spodov_XC86990.ogg.npy,spodov
comtai1_XC116529.ogg.npy,comtai1
bcnher_XC800504.ogg.npy,bcnher
blnmon1_XC629850.ogg.npy,blnmon1
bcnher_XC184836.ogg.npy,bcnher
comkin1_XC188957.ogg.npy,comkin1
grtdro1_XC665377.ogg.npy,grtdro1
houspa_XC570604.ogg.npy,houspa
plapri1_XC401368.ogg.npy,plapri1
asikoe2_XC353944.ogg.npy,asikoe2
bcnher_XC492759.ogg.npy,bcnher
comior1_XC348103.ogg.npy,comior1
comgre_XC720843.ogg.npy,comgre
crbsun2_XC296413.ogg.npy,crbsun2
comsan_XC429319.ogg.npy,comsan
blakit1_XC418986.ogg.npy,blakit1
nutman_XC716110.ogg.npy,nutman
houcro1_XC430265.ogg.npy,houcro1
kenplo1_XC185105.ogg.npy,kenplo1
barswa_XC706615.ogg.npy,barswa
litspi1_XC178283.ogg.npy,litspi1
barswa_XC191024.ogg.npy,barswa
commyn_XC504382.ogg.npy,commyn
