spectrogram,label,label_idx
litegr_XC596872.ogg.npy,litegr,106
spodov_XC565937.ogg.npy,spodov,155
comsan_XC823388.ogg.npy,comsan,44
eaywag1_XC765235.ogg.npy,eaywag1,53
greegr_XC694714.ogg.npy,greegr,65
comgre_XC785527.ogg.npy,comgre,37
bkwsti_XC737336.ogg.npy,bkwsti,14
hoopoe_XC798811.ogg.npy,hoopoe,80
grywag_XC823982.ogg.npy,grywag,76
rewlap1_XC135155.ogg.npy,rewlap1,141
asikoe2_XC349239.ogg.npy,asikoe2,4
grnwar1_XC405274.ogg.npy,grnwar1,72
brcful1_XC729664.ogg.npy,brcful1,24
lirplo_XC670439.ogg.npy,lirplo,105
laudov1_XC195520.ogg.npy,laudov1,101
barswa_XC256543.ogg.npy,barswa,9
zitcis1_XC354451.ogg.npy,zitcis1,181
bcnher_XC683492.ogg.npy,bcnher,10
grbeat1_XC700157.ogg.npy,grbeat1,63
eurcoo_XC613334.ogg.npy,eurcoo,57
litegr_XC636767.ogg.npy,litegr,106
grnwar1_XC740621.ogg.npy,grnwar1,72
barswa_XC730688.ogg.npy,barswa,9
ingori1_XC183795.ogg.npy,ingori1,88
gargan_XC452828.ogg.npy,gargan,59
zitcis1_XC711695.ogg.npy,zitcis1,181
whiter2_XC180968.ogg.npy,whiter2,174
litgre1_XC790566.ogg.npy,litgre1,107
grywag_XC458290.ogg.npy,grywag,76
rewlap1_XC683868.ogg.npy,rewlap1,141
brwowl1_XC824375.ogg.npy,brwowl1,30
wemhar1_XC430602.ogg.npy,wemhar1,166
houspa_XC124181.ogg.npy,houspa,82
brodro1_XC284392.ogg.npy,brodro1,28
rorpar_XC209561.ogg.npy,rorpar,143
labcro1_XC692670.ogg.npy,labcro1,100
litswi1_XC443716.ogg.npy,litswi1,109
rorpar_XC602203.ogg.npy,rorpar,143
yebbul3_XC387132.ogg.npy,yebbul3,180
wemhar1_XC614693.ogg.npy,wemhar1,166
comgre_XC854750.ogg.npy,comgre,37
comtai1_XC606920.ogg.npy,comtai1,45
bkskit1_XC352653.ogg.npy,bkskit1,13
categr_XC756290.ogg.npy,categr,33
houcro1_XC146932.ogg.npy,houcro1,81
lirplo_XC382197.ogg.npy,lirplo,105
plapri1_XC592636.ogg.npy,plapri1,129
gryfra_XC73268.ogg.npy,gryfra,74
rerswa1_XC437891.ogg.npy,rerswa1,138
labcro1_XC508021.ogg.npy,labcro1,100
woosan_XC380293.ogg.npy,woosan,177
grnsan_XC266346.ogg.npy,grnsan,71
categr_XC322747.ogg.npy,categr,33
comgre_XC796155.ogg.npy,comgre,37
zitcis1_XC743002.ogg.npy,zitcis1,181
comgre_XC670134.ogg.npy,comgre,37
rorpar_XC581310.ogg.npy,rorpar,143
blrwar1_XC656255.ogg.npy,blrwar1,20
graher1_XC553780.ogg.npy,graher1,62
junbab2_XC390355.ogg.npy,junbab2,95
houspa_XC631407.ogg.npy,houspa,82
eucdov_XC490220.ogg.npy,eucdov,55
plapri1_XC834658.ogg.npy,plapri1,129
bkskit1_XC361610.ogg.npy,bkskit1,13
grecou1_XC830420.ogg.npy,grecou1,64
bkwsti_XC740830.ogg.npy,bkwsti,14
